#visible_distance(float) space view_sector(float)
100 135
#sequence of units
#2D_position(float;float) space 2D_direction(float;float)
-5034.64;9817.5 0.352031;-4.73205
-2895.61;8575.15 -3.73043;-0.100863
7708.35;3495.81 0.912656;3.51375
9084.16;5211.91 -2.99524;-3.09168
-7363.92;988.709 -3.52901;0.857723
4417.18;-9519.15 -1.95975;-0.449385
7048.9;-7380.13 -1.84988;4.12839
964.016;-5706.32 -0.784783;4.12931
-1772.01;1361.56 4.32035;-0.339824
-7954.81;2721.33 2.40135;2.09952
-4995.46;7957.67 2.9809;-3.85128
9288.46;9311.02 4.51048;1.04633
1937.12;8472.44 -4.60509;3.75057
8124.13;-1071.94 1.75222;1.91092
-4012.75;4369.31 0.972167;-0.56566
-4432.87;4007.47 -4.85778;2.46544
5557.97;5079.6 3.39869;-1.41652
604.152;-6475.07 -2.73919;-2.95831
-7703.93;3114.9 -1.97623;2.84753
7187.77;-5844.46 0.258644;2.50725
-4985.58;1610.29 0.490585;4.24253
9556.29;4227.38 -4.88403;0.490585
-3455.93;-5566.81 -3.3816;-4.49583
-9832.07;61.2012 2.15049;-4.14029
-7231.66;-1305.8 3.53786;-3.3108
-100.764;-5324.04 2.7749;1.44734
4219.78;-56.9209 2.07022;-1.9747
1292.62;9156.7 2.5042;-0.972777
-9566.63;9619.59 0.363628;-0.984985
-6329.75;-3306.83 -4.78576;-3.45729
6184.28;-4689.1 -1.22578;3.78567
1028.63;-1503.25 -1.34999;1.58071
1168.46;2990.07 -4.00082;2.69036
2630.84;-6967.2 1.18152;1.09973
1138.42;-7435.49 -3.54091;0.162511
5689.12;-2937.47 -0.186621;-2.59362
-7621.93;4949.61 -1.06769;-1.18641
889.972;-326.252 -0.557726;0.382245
8060.02;2661.74 -3.56471;-0.211646
158.381;8458.05 3.36421;-4.04141
-2144.47;1954.19 -2.64214;-0.636769
-2817.16;8487.35 -4.96796;0.845515
-1055.46;-1851.08 -2.15537;1.79952
-9767.38;-6466.72 1.06616;3.50673
-9293.02;3076.4 -4.57213;-1.55477
7424.86;9687.64 -4.49309;1.3863
-9023.21;-4639.04 3.9114;3.08588
-4887.65;-7597.72 -4.67193;4.38688
-4561.57;2640.85 -0.498825;3.54579
7427.95;-5682.34 -2.80877;4.59319
-823.22;-2880.81 -1.80868;-0.459151
116.897;7375.44 -4.54619;2.2515
802.41;2637.96 4.3939;-3.22108
5101.45;-3469.47 1.42903;-2.00491
9049.35;-4755.52 0.823236;-2.68731
8963.46;5524.73 3.89096;1.32038
-7809.35;-4698.11 -0.371258;-3.86105
-6847.25;-3451.09 0.834224;-4.68657
8959.54;-7048.03 4.77722;4.05301
-3489.23;767.26 2.48161;-2.37175
3827.42;5382.41 -4.31425;-3.25251
1302.77;2777.53 -4.45982;-2.28904
2547.36;7309.06 2.10562;0.167089
737.231;-3364.09 -1.28742;0.277871
-8017.75;-6803.61 0.252541;2.10654
9277.66;-5383.95 -0.549486;-4.95911
1247.55;-7781.49 0.192419;0.0645466
-4038.13;8645.87 1.96554;2.6867
6458.97;-3707.34 4.47264;-4.65453
-955.003;4451.33 -3.51375;-2.90124
-3036.85;-85.1563 -1.99545;3.40907
4681.94;7179.41 -0.233619;3.83938
4253.65;-7213.23 -0.802789;0.4738
6931.96;904.327 -3.15943;4.87152
-5631.1;4570.26 2.34031;-3.63247
-9227.73;-540.064 4.03561;-0.462508
1084.56;3198.57 1.23493;3.62972
-3008.67;-9325.81 3.22474;1.7864
3441.38;4159.63 4.07987;2.86157
-8933.35;-7726.49 -2.66198;3.64864
4313.79;-6351.86 -0.399335;4.32981
-7421.62;1100.36 -2.88079;4.96338
-7662.41;3053.76 4.43571;-4.18424
8597.44;-5552.76 -0.866573;-0.644093
5527.38;-2560.48 1.76656;-3.28028
9302.55;3279.78 -4.97528;-3.53694
-987.255;-5345.34 1.20228;-1.59017
5227.42;-501.292 2.02567;0.410321
-7046.73;-1546.08 -0.0880461;0.824762
7966.13;-6053.31 4.71221;4.53825
4726.81;3540.04 -4.99359;-4.67437
-6603.68;7962.1 -1.9866;2.37846
3492.76;-6821.94 -2.82708;3.79818
6130.08;-2101.61 1.46992;4.88189
5977.7;8624.78 -4.44365;4.00143
8776.27;-9770.79 4.73998;3.8934
-3661.82;-6845.18 3.8934;1.17237
-8653.6;-8812.57 4.35789;1.87948
7042.03;5140.63 -2.10685;-4.12351
3790.04;7901.88 1.74245;-2.09555
4109.92;7626.14 3.87326;-1.89077
-7012.11;2689.62 2.45445;-0.142674
-7257.29;7081.48 -1.36097;-2.35343
-1291.23;-1660.32 -3.29646;2.92779
6532.2;6426.5 0.619678;0.648671
-4418.28;-2274.22 1.10797;4.33348
220.122;-9729.13 2.24876;2.50969
-5048.4;-4961.45 1.70034;4.29594
2256.62;1675.18 3.59767;-3.0401
-9172.58;-641.449 -1.81387;3.26716
-7276.77;-6184.76 -2.74133;1.41835
7260.95;-8541.78 -0.547044;-4.59319
1410.16;-9166.78 4.47813;-1.40828
9716.82;-8123.05 0.326396;-1.69118
-9243.37;3812.06 2.53807;4.3289
-3046.02;2886.13 -0.421918;-1.02344
-1611.69;-1259.97 3.39015;1.72079
-3558.15;2407.79 -0.814692;-3.94925
5254.5;-4543.36 3.53755;1.45161
2954.32;9576.43 4.83612;-1.71377
3997.29;985.076 -4.83154;-1.59749
-1251.5;4509.42 -2.31101;-0.723136
-9317.88;-5196.3 -1.46077;4.50102
-4055.16;-1202.41 -2.61895;-1.56636
-1487.41;5491.22 -4.3939;-2.17734
2314.22;-249.233 -3.71609;-1.78884
-4268.48;2138.61 4.90905;-2.05557
9330.64;6781.57 -4.98718;-2.4163
3308.94;-4323.05 -2.29728;-2.45537
2441.01;378.669 -0.814997;1.77114
-2198.59;-5502.95 -4.65728;0.254677
-6464.38;2659.78 -2.57439;-1.78335
-5566.28;-7809.9 -2.08518;4.76134
-3364.48;-7705.52 0.627308;-1.18671
-5591.04;7108.57 4.12015;-4.84313
6080.01;9448.93 2.4575;-1.62008
-6057.12;-3894.48 2.40593;-2.45628
-3066.93;-3247.53 1.1153;-0.612354
-4252.46;-2325.62 3.35139;2.88171
6741.42;7794.72 2.34123;2.93725
3248.95;-8563.67 3.29676;-3.90713
2756.98;-6119.64 3.67306;-4.01578
-2444.42;6718.31 -0.77044;1.41224
8074.94;-2335.87 -0.04532;4.81841
-4227.01;6766.28 4.91516;3.98831
-6449.19;4067.18 0.0938444;4.78576
-6541.17;2215.47 -1.72018;-2.26402
8798.15;771.293 -4.93042;-3.73074
8133.38;-604.644 0.0453196;-0.562304
240.811;-8168.03 -2.80908;-3.08557
6993.03;407.323 3.60958;-0.905332
6130.26;3899.38 0.603199;0.103915
-5245.43;-4176.09 -3.82046;-3.47133
-724.544;6260.65 3.04712;-0.314188
5383.79;9083.37 1.15711;4.23429
8102.36;813.932 -1.13422;0.950499
-2147.73;-4369.67 1.76687;-3.52229
3782.26;6117.52 3.2638;-2.14408
-9295.94;-9305.55 -4.05667;4.653
6469.46;-5290.36 -2.1868;-3.49513
2104.82;-6335.47 2.46239;-1.12079
-2917.74;236.313 -2.7868;4.87243
-7573.58;2635.82 -1.67776;-4.14518
8719.62;648.755 -2.70409;-1.22059
6087.35;2191.61 -2.62078;2.9577
4053.52;-9131.45 4.28648;4.12381
981.689;2831.62 0.228736;-1.40309
-8672.86;8663.86 -4.69176;-4.64782
-4795.83;-5681.6 -4.66247;-1.18488
5025.76;-4186.88 0.143895;0.190588
-208.498;9674.6 1.42933;0.139927
-9256.66;5924.04 4.24009;0.618153
-6687.07;4815.47 1.11408;-1.31581
7114.65;-8118.74 2.96625;0.0950651
-2786.14;6100.95 -4.22666;-4.50102
-2352.28;-1152.3 -2.87591;-2.96136
-3667.62;-5094.74 1.69271;-1.82485
-2489.1;-3977.82 -0.297098;4.55016
-517.073;1050.03 -2.5573;-1.30665
8605.33;-4123.28 3.88943;-3.60897
4216.36;-7646.64 2.51427;-2.47246
-4930.33;8776.78 2.32353;-0.789667
3351.37;-7408.97 -2.80023;3.99533
-943.441;-9709.74 -2.39158;1.01978
-6048.61;-4378.21 3.72707;2.86004
3623.53;-2861.5 4.06674;-4.07834
8373.96;9659.45 -1.35945;-2.81854
-5492.73;1943.91 0.748772;-4.91516
-9261.62;-3991.94 -3.5641;-2.58049
4656.23;-4815.52 -4.30937;3.97183
9545.94;-3279.18 4.44212;-3.21741
4212.24;1192.93 1.42201;-4.18638
1694.48;-271.488 -1.04663;2.83288
8834.89;8320.7 1.72353;1.339
9571.97;-7091.67 2.61345;-4.66674
-5754.57;9497.99 -0.365154;4.74914
8532.38;-8879.46 3.04804;0.354777
9385.35;-3820.14 -3.2873;-4.05606
-8109.45;-2951.64 2.74621;0.62212
-2147.32;3755.95 3.53847;-0.999023
-536.253;-6060.88 0.195776;2.11966
-5623.05;-7237.33 1.47511;-3.10175
-8246.68;9385.35 2.26402;-3.05933
-9602.66;-2777.32 -4.32279;2.49535
1025.73;-4643.74 -2.16941;2.39036
-1842.3;-8815.11 -0.652944;-4.24497
-9170.5;-5149.72 2.67174;-3.6642
-345.192;2709.83 -0.757622;-2.77551
-7682.21;7237.54 -4.40825;-1.19098
-3994.75;4961.09 2.43522;-2.24143
7877.83;3063.95 -4.19279;-0.142674
469.927;-4121.79 4.31822;4.49797
-4357.96;-9769.48 1.57765;3.6462
-5221.9;-7890.95 -2.13584;3.09473
-6535.45;-5542.72 0.0901823;-1.19068
5379.71;-3957.66 4.13327;-3.81008
-9196.97;-6701.92 -1.40858;-4.94842
5947.67;-5324.27 4.02982;-1.85965
-1150.24;-584.824 -3.2284;-4.00021
-1489.82;-9725.48 1.31123;-4.00662
5658.12;-504.117 0.395062;-1.69607
-863.389;4099.68 -3.15424;-3.28516
-7562.01;3241.03 -3.81466;-3.00958
6524.66;-5420.06 4.12076;0.665761
-8621.99;6763.27 -2.04337;-2.93909
-7372.34;2861.17 -4.00266;1.32801
9005.61;7334.6 3.99716;1.34693
-6532.73;-2357.13 2.72393;1.28162
-8831.39;-8753.26 -4.29868;4.60906
6848.68;6026.25 1.18793;4.43144
5452.56;-7477.7 -2.54601;3.88913
-9659.29;2399.09 -4.57213;4.4821
-3992.52;7468.42 -2.23807;-4.88708
-1560.42;5020.47 -1.61;-0.332499
-9632.48;-326.954 1.63656;-4.05972
9518.25;8917.45 4.9353;3.72433
-3993.86;-4679.22 4.22758;4.86786
9272.57;9169.48 -3.90286;3.12098
-2927.68;-4659.79 -4.29472;-3.42158
-1582.1;-2672.98 4.59136;0.53209
-7380.69;-2530.92 -2.60552;3.5461
2811.22;9065.65 1.57125;4.56725
-1811.52;-8545.36 -0.844905;3.88424
7948.35;8351.53 4.63744;-4.25474
-8702.6;5479.28 -1.98325;-4.55016
-6473.07;-1444.78 -2.90613;-1.27644
-4011.8;8654.97 -1.93899;-3.80673
9423.21;9079.72 -1.54164;0.771355
-5828.82;1368.14 1.55446;0.760674
476.436;-3326.12 -3.78323;-3.50154
-4479.7;700.742 1.33106;3.34498
4401.88;-6954.05 -1.16565;-1.16779
-7259.16;-944.545 4.42534;-3.21223
992.042;-8453.63 0.0108342;-3.7582
-2705.16;-6501.6 -3.04529;-2.06809
-2170.15;2103.53 4.19004;-3.78231
-429.108;7755.17 0.253761;-0.77929
1408.51;1346.07 3.31629;4.99542
9470.26;9448.85 -1.74551;-3.44874
-9274.27;-7619.6 4.84375;3.53389
1979.98;-4538.71 -3.87875;3.37642
-9262.26;-1246.84 0.99292;-0.25895
1580.75;-8019.06 0.133519;1.05426
-7641.44;-7309.81 -0.741142;-3.04804
-6266.14;8299.68 -1.18305;-4.54863
-8181.18;-8633.96 4.1702;-1.34632
-5342.16;2836.7 -4.67193;-0.204932
-6530.94;9479.33 0.294046;-0.538194
6664.52;-2378.72 1.08631;3.77224
-4440.68;4597.48 -3.50276;2.34825
-4554.84;-9268.55 0.655995;-1.11713
-2078.7;-9609.05 1.45161;2.11753
6010.42;-2261.96 -2.11844;0.0422678
-7383.04;6254.41 0.392621;-4.86816
8585.61;7996.71 3.26746;3.43043
